"","ID","Group","WD","Weight","Time","stdweight"
"1","1","1","WD1",240,1,-1.73263452285811
"2","2","1","WD1",225,1,-2.82850302797201
"3","3","1","WD1",245,1,-1.36734502115348
"4","4","1","WD1",260,1,-0.271476516039578
"5","5","1","WD1",255,1,-0.636766017744211
"6","6","1","WD1",260,1,-0.271476516039578
"7","7","1","WD1",275,1,0.824391989074322
"8","8","1","WD1",245,1,-1.36734502115348
"9","9","2","WD1",410,1,-1.14296982212416
"10","10","2","WD1",405,1,-1.21946917133843
"11","11","2","WD1",445,1,-0.607474377624249
"12","12","2","WD1",555,1,1.07551130508976
"13","13","3","WD1",470,1,-2.28363782039121
"14","14","3","WD1",535,1,0.376730475461688
"15","15","3","WD1",520,1,-0.237200669735134
"16","16","3","WD1",510,1,-0.646488099866349
"17","1","1","WD8",250,8,-1.00205551944884
"18","2","1","WD8",230,8,-2.46321352626738
"19","3","1","WD8",250,8,-1.00205551944884
"20","4","1","WD8",255,8,-0.636766017744211
"21","5","1","WD8",260,8,-0.271476516039578
"22","6","1","WD8",265,8,0.0938129856650555
"23","7","1","WD8",275,8,0.824391989074322
"24","8","1","WD8",255,8,-0.636766017744211
"25","9","2","WD8",415,8,-1.06647047290989
"26","10","2","WD8",420,8,-0.989971123695614
"27","11","2","WD8",445,8,-0.607474377624249
"28","12","2","WD8",560,8,1.15201065430403
"29","13","3","WD8",465,8,-2.48828153545682
"30","14","3","WD8",525,8,-0.0325569546695268
"31","15","3","WD8",525,8,-0.0325569546695268
"32","16","3","WD8",510,8,-0.646488099866349
"33","1","1","WD15",255,15,-0.636766017744211
"34","2","1","WD15",230,15,-2.46321352626738
"35","3","1","WD15",250,15,-1.00205551944884
"36","4","1","WD15",255,15,-0.636766017744211
"37","5","1","WD15",255,15,-0.636766017744211
"38","6","1","WD15",270,15,0.459102487369689
"39","7","1","WD15",260,15,-0.271476516039578
"40","8","1","WD15",260,15,-0.271476516039578
"41","9","2","WD15",425,15,-0.913471774481341
"42","10","2","WD15",430,15,-0.836972425267068
"43","11","2","WD15",450,15,-0.530975028409976
"44","12","2","WD15",565,15,1.2285100035183
"45","13","3","WD15",475,15,-2.0789941053256
"46","14","3","WD15",530,15,0.172086760396081
"47","15","3","WD15",530,15,0.172086760396081
"48","16","3","WD15",520,15,-0.237200669735134
"49","1","1","WD22",260,22,-0.271476516039578
"50","2","1","WD22",232,22,-2.31709772558553
"51","3","1","WD22",255,22,-0.636766017744211
"52","4","1","WD22",265,22,0.0938129856650555
"53","5","1","WD22",270,22,0.459102487369689
"54","6","1","WD22",275,22,0.824391989074322
"55","7","1","WD22",270,22,0.459102487369689
"56","8","1","WD22",268,22,0.312986686687836
"57","9","2","WD22",428,22,-0.867572164952778
"58","10","2","WD22",440,22,-0.683973726838522
"59","11","2","WD22",452,22,-0.500375288724267
"60","12","2","WD22",580,22,1.45800805116112
"61","13","3","WD22",485,22,-1.66970667519439
"62","14","3","WD22",533,22,0.294872989435445
"63","15","3","WD22",540,22,0.581374190527296
"64","16","3","WD22",515,22,-0.441844384800742
"65","1","1","WD29",262,29,-0.125360715357725
"66","2","1","WD29",240,29,-1.73263452285811
"67","3","1","WD29",262,29,-0.125360715357725
"68","4","1","WD29",265,29,0.0938129856650555
"69","5","1","WD29",270,29,0.459102487369689
"70","6","1","WD29",275,29,0.824391989074322
"71","7","1","WD29",273,29,0.678276188392469
"72","8","1","WD29",270,29,0.459102487369689
"73","9","2","WD29",438,29,-0.714573466524232
"74","10","2","WD29",448,29,-0.561574768095686
"75","11","2","WD29",455,29,-0.454475679195703
"76","12","2","WD29",590,29,1.61100674958967
"77","13","3","WD29",487,29,-1.58784918916814
"78","14","3","WD29",535,29,0.376730475461688
"79","15","3","WD29",543,29,0.70416041956666
"80","16","3","WD29",530,29,0.172086760396081
"81","1","1","WD36",258,36,-0.417592316721431
"82","2","1","WD36",240,36,-1.73263452285811
"83","3","1","WD36",265,36,0.0938129856650555
"84","4","1","WD36",268,36,0.312986686687836
"85","5","1","WD36",273,36,0.678276188392469
"86","6","1","WD36",277,36,0.970507789756176
"87","7","1","WD36",274,36,0.751334088733396
"88","8","1","WD36",265,36,0.0938129856650555
"89","9","2","WD36",443,36,-0.638074117309959
"90","10","2","WD36",460,36,-0.37797632998143
"91","11","2","WD36",455,36,-0.454475679195703
"92","12","2","WD36",597,36,1.71810583848965
"93","13","3","WD36",493,36,-1.34227673108942
"94","14","3","WD36",540,36,0.581374190527296
"95","15","3","WD36",546,36,0.826946648606025
"96","16","3","WD36",538,36,0.499516704501053
"97","1","1","WD43",266,43,0.166870886005982
"98","2","1","WD43",243,43,-1.51346082183533
"99","3","1","WD43",267,43,0.239928786346909
"100","4","1","WD43",270,43,0.459102487369689
"101","5","1","WD43",274,43,0.751334088733396
"102","6","1","WD43",278,43,1.0435656900971
"103","7","1","WD43",276,43,0.897449889415249
"104","8","1","WD43",265,43,0.0938129856650555
"105","9","2","WD43",442,43,-0.653373987152813
"106","10","2","WD43",458,43,-0.40857606966714
"107","11","2","WD43",451,43,-0.515675158567122
"108","12","2","WD43",595,43,1.68750609880394
"109","13","3","WD43",493,43,-1.34227673108942
"110","14","3","WD43",525,43,-0.0325569546695268
"111","15","3","WD43",538,43,0.499516704501053
"112","16","3","WD43",535,43,0.376730475461688
"113","1","1","WD44",266,44,0.166870886005982
"114","2","1","WD44",244,44,-1.44040292149441
"115","3","1","WD44",267,44,0.239928786346909
"116","4","1","WD44",272,44,0.605218288051542
"117","5","1","WD44",273,44,0.678276188392469
"118","6","1","WD44",278,44,1.0435656900971
"119","7","1","WD44",271,44,0.532160387710616
"120","8","1","WD44",267,44,0.239928786346909
"121","9","2","WD44",446,44,-0.592174507781395
"122","10","2","WD44",464,44,-0.316776850610012
"123","11","2","WD44",450,44,-0.530975028409976
"124","12","2","WD44",595,44,1.68750609880394
"125","13","3","WD44",504,44,-0.892060557945079
"126","14","3","WD44",530,44,0.172086760396081
"127","15","3","WD44",544,44,0.745089162579782
"128","16","3","WD44",542,44,0.663231676553539
"129","1","1","WD50",265,50,0.0938129856650555
"130","2","1","WD50",238,50,-1.87875032353997
"131","3","1","WD50",264,50,0.0207550853241288
"132","4","1","WD50",274,50,0.751334088733396
"133","5","1","WD50",276,50,0.897449889415249
"134","6","1","WD50",284,50,1.48191309214266
"135","7","1","WD50",282,50,1.33579729146081
"136","8","1","WD50",273,50,0.678276188392469
"137","9","2","WD50",456,50,-0.439175809352849
"138","10","2","WD50",475,50,-0.148478282338611
"139","11","2","WD50",462,50,-0.347376590295721
"140","12","2","WD50",612,50,1.94760388613247
"141","13","3","WD50",507,50,-0.769274328905714
"142","14","3","WD50",543,50,0.70416041956666
"143","15","3","WD50",553,50,1.11344784969788
"144","16","3","WD50",550,50,0.990661620658511
"145","1","1","WD57",272,57,0.605218288051542
"146","2","1","WD57",247,57,-1.22122922047163
"147","3","1","WD57",268,57,0.312986686687836
"148","4","1","WD57",273,57,0.678276188392469
"149","5","1","WD57",278,57,1.0435656900971
"150","6","1","WD57",279,57,1.11662359043803
"151","7","1","WD57",281,57,1.26273939111988
"152","8","1","WD57",274,57,0.751334088733396
"153","9","2","WD57",468,57,-0.255577371238594
"154","10","2","WD57",484,57,-0.01077945375292
"155","11","2","WD57",466,57,-0.286177110924303
"156","12","2","WD57",618,57,2.0394031051896
"157","13","3","WD57",518,57,-0.319058155761377
"158","14","3","WD57",544,57,0.745089162579782
"159","15","3","WD57",555,57,1.19530533572412
"160","16","3","WD57",553,57,1.11344784969788
"161","1","1","WD64",278,64,1.0435656900971
"162","2","1","WD64",245,64,-1.36734502115348
"163","3","1","WD64",269,64,0.386044587028762
"164","4","1","WD64",275,64,0.824391989074322
"165","5","1","WD64",280,64,1.18968149077896
"166","6","1","WD64",281,64,1.26273939111988
"167","7","1","WD64",284,64,1.48191309214266
"168","8","1","WD64",278,64,1.0435656900971
"169","9","2","WD64",478,64,-0.102578672810048
"170","10","2","WD64",496,64,0.172818984361335
"171","11","2","WD64",472,64,-0.194377891867175
"172","12","2","WD64",628,64,2.19240180361814
"173","13","3","WD64",525,64,-0.0325569546695268
"174","14","3","WD64",559,64,1.3590203077766
"175","15","3","WD64",548,64,0.908804134632268
